都道府県,市区町村,町名,丁目,番地,号,建物名,価格,最寄駅,物件タイプ,敷地面積
愛知県,名古屋市,名古屋駅,8,7,15,汐留シオサイト,71580390,金山駅,オフィスビル,2036
千葉県,市川市,行徳,7,8,13,ミッドタウン日比谷,42334570,本八幡駅,アパート,356
大阪府,吹田市,山田,8,19,5,汐留シティセンター,78541010,枚方駅,マンション,4185
埼玉県,越谷市,せんげん台,3,27,1,東京芸術劇場,87169820,春日部駅,マンション,1293
神奈川県,茅ヶ崎市,浜竹,8,20,11,東京芸術劇場,27442920,根岸駅,アパート,4961
千葉県,松戸市,新松戸,2,4,7,国会議事堂,76752040,南船橋駅,店舗,4163
東京都,千代田区,秋葉原,7,25,6,新丸の内ビルディング,61354810,目黒駅,マンション,3331
東京都,渋谷区,渋谷,10,14,10,渋谷ストリーム,41315320,新宿駅,マンション,3041
埼玉県,川越市,新河岸,9,1,14,新宿センタービル,13260010,川越駅,マンション,1648
東京都,中央区,月島,10,17,7,渋谷ストリーム,58122720,秋葉原駅,アパート,1102
福岡県,北九州市,門司港,5,7,19,東京ガーデンテラス紀尾井町,53664100,赤坂駅,アパート,4496
埼玉県,越谷市,南越谷,2,28,4,永田町グリッド,26053680,春日部駅,アパート,96
千葉県,市川市,本八幡,8,30,20,有明ガーデン,46205520,松戸駅,店舗,3733
大阪府,豊中市,服部,3,8,10,日本テレビタワー,27566090,淀屋橋駅,オフィスビル,1570
神奈川県,横浜市,関内,9,19,15,アークヒルズ仙石山森タワー,73523680,根岸駅,店舗,1000
埼玉県,所沢市,西所沢,3,22,18,東京ワールドゲート,56843760,北朝霞駅,オフィスビル,4434
大阪府,堺市,堺東,10,4,5,東京国際フォーラム,93279240,枚方駅,一戸建て,3276
福岡県,久留米市,善導寺,5,26,7,新宿アイランドタワー,70508040,西鉄福岡駅,オフィスビル,1853
東京都,新宿区,新宿,4,29,2,世界貿易センタービル,22344900,新橋駅,一戸建て,373
Aichi,港区,麻布,5,11,３,世界貿易センタービル,38301330,八王子駅,アパート,682
埼玉県,越谷市,せんげん台,9,11,9,日比谷国際ビル,20765790,春日部駅,一戸建て,4305
千葉県,松戸市,松戸,2,15,5,東京オペラシティ,66626470,鎌ヶ谷駅,マンション,392
福岡県,大牟田市,大牟田,6,11,13,渋谷ストリーム,40633560,姪浜駅,一戸建て,621
神奈川県,横須賀市,横須賀中央,1,3,1,東京駅丸の内駅舎,86778590,武蔵小杉駅,一戸建て,3653
埼玉県,さいたま市,浦和美園,10,21,16,赤坂Bizタワー,20257150,新所沢駅,アパート,1317
愛知県,岡崎市,矢作,9,17,4,東京スクエアガーデン,10917140,春日井駅,オフィスビル,2100
埼玉県,越谷市,越谷,5,21,5,東京ワールドゲート,91814600,さいたま新都心駅,店舗,2239
神奈川県,横須賀市,久里浜,3,27,2,東京ポートシティ竹芝,96621920,茅ヶ崎駅,マンション,1933
神奈川県,茅ヶ崎市,茅ヶ崎,3,7,3,霞が関ビルディング,45104740,海老名駅,アパート,1279
大阪府,大阪市北区,大淀,9,2,18,東京スカイツリー,27659970,本町駅,店舗,4328
大阪府,吹田市,北千里,6,20,9,汐留メディアタワー,94609910,なんば駅,一戸建て,3041
大阪府,豊中市,庄内,2,6,2,東京サンケイビル,72933260,心斎橋駅,店舗,2328
千葉県,柏市,新柏,3,4,13,豊洲市場,18612390,幕張駅,オフィスビル,2829
大阪府,大阪市中央区,谷町,1,23,6,晴海トリトンスクエア,31034390,和泉府中駅,店舗,1059
埼玉県,川越市,川越,7,24,5,六本木ヒルズ森タワー,70346520,浦和駅,一戸建て,4576
愛知県,名古屋市,千種,10,30,7,六本木グランドタワー,52847460,名古屋駅,店舗,942
千葉県,松戸市,新松戸,9,12,9,東京スクエアガーデン,96614400,東松戸駅,マンション,109
東京都,渋谷区,代々木,2,13,3,明治生命館,41450680,高田馬場駅,マンション,4798
愛知県,春日井市,神領,3,17,19,御茶ノ水ソラシティ,41260300,岡崎駅,アパート,2702
埼玉県,越谷市,南越谷,5,29,9,大手町フィナンシャルシティ,50744550,朝霞台駅,マンション,2588
埼玉県,所沢市,小手指,3,12,10,パシフィックセンチュリープレイス丸の内,24947640,志木駅,オフィスビル,1524
神奈川県,横須賀市,久里浜,4,20,7,東京ビッグサイト,45880320,武蔵小杉駅,店舗,3026
神奈川県,茅ヶ崎市,辻堂西海岸,7,11,19,豊洲市場,94430000,武蔵小杉駅,一戸建て,314
東京都,渋谷区,原宿,2,28,10,日本テレビタワー,28452760,新橋駅,一戸建て,4035
千葉県,船橋市,北習志野,3,12,15,赤坂Bizタワー,61606260,東松戸駅,オフィスビル,4766
大阪府,豊中市,曽根,3,2,18,表参道ヒルズ,39351780,梅田駅,店舗,442
東京都,渋谷区,原宿,3,9,4,二子玉川ライズ,19183630,高田馬場駅,一戸建て,848
埼玉県,さいたま市,浦和,1,21,17,豊洲市場,99501230,浦和駅,マンション,3599
神奈川県,茅ヶ崎市,茅ヶ崎南,10,16,4,コレド室町,36111470,桜木町駅,店舗,4974
大阪府,豊中市,曽根,8,18,10,汐留シオサイト,84936990,鶴橋駅,一戸建て,820
千葉県,千葉市,幕張,1,19,15,晴海トリトンスクエア,78589040,八柱駅,マンション,2182
大阪府,大阪市北区,梅田,7,12,2,二子玉川ライズ,87055370,京橋駅,オフィスビル,3966
大阪府,堺市,深井,5,29,16,池袋サンシャインシティ,48709050,なんば駅,店舗,2592
埼玉県,川越市,霞ヶ関,1,23,12,東急キャピトルタワー,16713790,東松山駅,店舗,4736
大阪府,豊中市,千里中央,1,30,12,汐留メディアタワー,65914340,心斎橋駅,オフィスビル,2059
神奈川県,茅ヶ崎市,松林,9,5,16,東京駅丸の内駅舎,55895150,溝の口駅,一戸建て,505
福岡県,北九州市,小倉,3,12,13,汐留メディアタワー,54334660,小倉駅,一戸建て,2402
神奈川県,藤沢市,藤沢,10,20,18,東京オペラシティ,12819540,藤沢駅,一戸建て,2328
愛知県,豊田市,土橋,3,17,17,国立新美術館,92505200,金山駅,マンション,2678
東京都,中央区,月島,9,25,4,代々木ゼミナール本館,68948930,八王子駅,オフィスビル,1751
福岡県,北九州市,門司港,2,20,7,東京ワールドゲート,57498890,香椎駅,マンション,3510
神奈川県,茅ヶ崎市,茅ヶ崎,7,3,5,新丸の内ビルディング,39265050,桜木町駅,店舗,401
神奈川県,茅ヶ崎市,松林,5,20,20,渋谷スクランブルスクエア,30470580,関内駅,一戸建て,4674
福岡県,大牟田市,諏訪,9,12,11,渋谷マークシティ,42434050,新飯塚駅,一戸建て,716
愛知県,岡崎市,岡崎,7,14,6,東京ワールドゲート,67978850,犬山駅,オフィスビル,2920
千葉県,市川市,行徳,2,14,8,文京シビックセンター,28135420,松戸駅,一戸建て,3832
神奈川県,藤沢市,江ノ島,5,3,15,浅草文化観光センター,39719300,根岸駅,一戸建て,4814
大阪府,豊中市,豊中,3,30,3,新宿パークタワー,80066350,和泉府中駅,オフィスビル,2660
埼玉県,越谷市,越谷,2,10,19,大手町プレイス,21781000,川口駅,アパート,940
神奈川県,横須賀市,衣笠,8,6,15,銀座シックス,11672810,戸塚駅,店舗,2145
福岡県,北九州市,戸畑,8,13,8,渋谷ストリーム,40940520,博多駅,アパート,3359
愛知県,岡崎市,岡崎,8,5,13,東京モード学園コクーンタワー,26020940,大曽根駅,店舗,4032
東京都,新宿区,高田馬場,9,3,13,東京オペラシティ,29371640,上野駅,アパート,1582
東京都,渋谷区,原宿,7,21,1,渋谷ヒカリエ,23907380,池袋駅,オフィスビル,1327
千葉県,千葉市,幕張,6,19,16,アークヒルズ仙石山森タワー,79957670,東松戸駅,店舗,1436
東京都,新宿区,西新宿,2,2,17,東急プラザ表参道原宿,24269430,大崎駅,一戸建て,4245
千葉県,松戸市,常盤平,1,3,3,アークヒルズ,83915060,船橋駅,店舗,1004
愛知県,豊田市,土橋,2,14,11,東京交通会館,50499800,栄駅,オフィスビル,2357
神奈川県,横須賀市,久里浜,7,5,2,赤坂Bizタワー,26524590,藤沢駅,店舗,3853
東京都,渋谷区,原宿,9,10,10,六本木ヒルズ森タワー,28001300,立川駅,マンション,2594
神奈川県,藤沢市,湘南台,4,6,19,大手町タワー,79941530,関内駅,店舗,1890
大阪府,豊中市,服部,10,24,6,アークヒルズ,98655850,和泉府中駅,一戸建て,1583
東京都,千代田区,神田,1,25,12,パシフィックセンチュリープレイス丸の内,15487000,秋葉原駅,アパート,2793
福岡県,飯塚市,飯塚,10,18,15,東京宝塚ビル,27073770,黒崎駅,アパート,173
愛知県,一宮市,木曽川,5,6,5,六本木ヒルズ森タワー,28237460,新瀬戸駅,オフィスビル,1508
神奈川県,藤沢市,善行,10,5,11,赤坂ACTシアター,38268370,桜木町駅,一戸建て,2906
愛知県,名古屋市,金山,4,29,13,渋谷マークシティ,75390810,新瀬戸駅,オフィスビル,444
福岡県,北九州市,八幡,10,13,8,丸の内パークビルディング,88443460,直方駅,オフィスビル,4190
神奈川県,横須賀市,久里浜,4,1,15,東京ソラマチ,33151570,登戸駅,店舗,2861
東京都,中央区,八丁堀,9,22,2,赤坂Bizタワー,99860290,立川駅,マンション,494
福岡県,北九州市,小倉,6,6,6,銀座シックス,99683550,博多駅,一戸建て,3842
愛知県,一宮市,妙興寺,7,2,16,東京ビッグサイト,57352470,犬山駅,店舗,2841
千葉県,千葉市,稲毛,2,20,14,ミッドタウン日比谷,97625080,八柱駅,店舗,3246
埼玉県,川越市,新河岸,8,25,6,恵比寿ガーデンプレイス,28893430,和光市駅,店舗,3960
東京都,千代田区,永田町,9,28,18,恵比寿ガーデンプレイス,91433930,銀座駅,マンション,4272
東京都,渋谷区,代官山,3,23,7,豊洲市場,98518480,八王子駅,オフィスビル,1663
愛知県,豊田市,上豊田,10,4,16,グランパークタワー,33878530,大府駅,アパート,149
愛知県,春日井市,高蔵寺,6,21,9,二子玉川ライズ,75952070,犬山駅,オフィスビル,168
大阪府,堺市,鳳,8,30,8,渋谷マークシティ,61202950,難波駅,オフィスビル,3065
福岡県,久留米市,久留米,10,3,10,渋谷スクランブルスクエア,25872290,大橋駅,アパート,3320
愛知県,一宮市,名鉄一宮,3,10,20,日本橋三井タワー,87590230,金山駅,オフィスビル,3749
福岡県,大牟田市,勝立,10,3,8,東急プラザ表参道原宿,78094990,九大学研都市駅,オフィスビル,197
福岡県,福岡市,姪浜,5,6,10,銀座シックス,70533330,小倉駅,アパート,785
埼玉県,越谷市,南越谷,4,10,12,日本テレビタワー,18975640,熊谷駅,アパート,3663
愛知県,岡崎市,美合,3,7,4,パレスホテル東京,27646040,刈谷駅,店舗,2971
愛知県,春日井市,味美,5,22,11,新宿センタービル,52795640,高蔵寺駅,店舗,1561
福岡県,久留米市,北野,2,12,10,御茶ノ水ソラシティ,28617220,香椎駅,店舗,405
福岡県,久留米市,久留米,4,28,11,東京スクエアガーデン,13451740,西新駅,オフィスビル,606
千葉県,柏市,北柏,10,29,4,赤坂Bizタワー,98861100,稲毛駅,マンション,874
大阪府,大阪市北区,扇町,5,3,9,新宿パークタワー,49808730,茨木駅,マンション,2648
愛知県,春日井市,高蔵寺,1,2,17,国立代々木競技場,38319290,刈谷駅,店舗,3457
福岡県,久留米市,花畑,6,5,8,東急プラザ表参道原宿,76872110,新飯塚駅,一戸建て,3776
神奈川県,横浜市,戸塚,2,15,16,新丸の内ビルディング,43634530,藤沢駅,店舗,396
千葉県,松戸市,常盤平,8,21,13,東京ドーム,65852440,千葉駅,一戸建て,2248
大阪府,豊中市,服部,3,30,7,豊洲市場,77854970,なんば駅,アパート,4046
埼玉県,さいたま市,岩槻,4,28,2,六本木グランドタワー,13999860,東松山駅,店舗,3869
神奈川県,横須賀市,追浜,10,1,5,六本木ヒルズ森タワー,30840410,二俣川駅,アパート,488
福岡県,久留米市,花畑,4,8,7,パシフィックセンチュリープレイス丸の内,19114900,西鉄久留米駅,店舗,1148
神奈川県,横須賀市,久里浜,3,24,1,東京宝塚ビル,60254110,大船駅,オフィスビル,3853
千葉県,柏市,新柏,1,4,15,大手町プレイス,31779780,幕張駅,オフィスビル,1053
埼玉県,所沢市,狭山ヶ丘,1,17,16,赤坂Bizタワー,93273250,越谷駅,一戸建て,1810
大阪府,豊中市,庄内,6,28,2,テレビ朝日本社ビル,25515950,新大阪駅,オフィスビル,745
愛知県,名古屋市,千種,9,25,12,品川シーサイド,48144670,尾張一宮駅,オフィスビル,4754
東京都,港区,麻布,7,1,7,虎ノ門ヒルズ,16502130,中野駅,店舗,2177
東京都,千代田区,丸の内,9,22,15,東京ワールドゲート,62886190,品川駅,アパート,2146
愛知県,春日井市,味美,1,10,14,東京ガーデンテラス紀尾井町,47530300,瀬戸駅,アパート,87
埼玉県,越谷市,大袋,6,29,2,東京国際フォーラム,60855660,志木駅,マンション,767
東京都,千代田区,丸の内,3,24,6,新宿野村ビル,62353610,品川駅,マンション,558
福岡県,北九州市,戸畑,8,26,15,東京シティビュー,70974230,薬院駅,アパート,3476
埼玉県,川口市,蕨,5,22,1,東京ビッグサイト,54636910,朝霞台駅,店舗,1542
福岡県,飯塚市,飯塚,1,29,20,東京スカイツリー,54749370,香椎駅,マンション,4868
大阪府,吹田市,吹田,9,22,15,東京ガーデンテラス紀尾井町,79586260,堺駅,マンション,4696
千葉県,千葉市,稲毛,3,5,18,渋谷ヒカリエ,20076230,新松戸駅,一戸建て,1702
千葉県,松戸市,北松戸,1,14,15,コレド室町,71459410,幕張駅,一戸建て,4908
福岡県,福岡市,姪浜,4,23,15,東京ソラマチ,70225650,赤坂駅,一戸建て,1643
埼玉県,さいたま市,浦和美園,4,13,9,品川シーサイド,11996400,川口駅,店舗,2453
神奈川県,川崎市,登戸,4,18,15,品川シーサイド,72677180,戸塚駅,マンション,1814
東京都,千代田区,永田町,4,5,17,世界貿易センタービル,88874350,目黒駅,マンション,604
福岡県,大牟田市,三池,3,6,10,日本テレビタワー,14886330,西鉄柳川駅,アパート,4231
東京都,千代田区,霞が関,2,10,8,東京駅丸の内駅舎,82541660,上野駅,一戸建て,3987
福岡県,久留米市,久留米,3,5,12,新丸の内ビルディング,96413060,小倉駅,アパート,4077
福岡県,北九州市,八幡,3,29,13,汐留メディアタワー,70140110,薬院駅,一戸建て,2992
東京都,港区,赤坂,10,4,14,東京ミッドタウン,28793160,秋葉原駅,オフィスビル,1616
福岡県,飯塚市,鯰田,10,28,13,明治生命館,96394450,門司港駅,一戸建て,3234
愛知県,一宮市,木曽川,6,25,4,東京宝塚ビル,17642150,岡崎駅,店舗,1452
東京都,港区,芝,2,22,18,アーバンドック ららぽーと豊洲,24755730,東京駅,店舗,506
埼玉県,所沢市,小手指,1,26,8,東京エレクトロンホール宮城,89406910,新座駅,一戸建て,2070
大阪府,吹田市,山田,5,17,15,大手町タワー,70438880,心斎橋駅,店舗,580
千葉県,船橋市,船橋,10,3,18,東京ワールドゲート,97900800,柏駅,マンション,3713
千葉県,柏市,南柏,1,17,1,東急プラザ表参道原宿,84641400,東松戸駅,店舗,2794
東京都,新宿区,四谷,9,24,17,大手町プレイス,68072290,渋谷駅,オフィスビル,1901
大阪府,豊中市,千里中央,4,13,14,アーバンドック ららぽーと豊洲,65980050,江坂駅,アパート,1154
愛知県,一宮市,尾張一宮,4,23,1,丸の内ブリックスクエア,79172820,岡崎駅,オフィスビル,3553
千葉県,市川市,本八幡,9,18,20,アトレ恵比寿,74761060,船橋駅,マンション,3833
福岡県,北九州市,黒崎,1,12,5,汐留メディアタワー,84556180,門司港駅,オフィスビル,4482
福岡県,久留米市,久留米,4,19,6,東京国際フォーラム,54074990,直方駅,店舗,4333
埼玉県,所沢市,所沢,10,1,18,虎ノ門ツインビルディング,95183380,志木駅,店舗,313
神奈川県,横浜市,みなとみらい,7,25,12,東京交通会館,16186270,大船駅,オフィスビル,4257
東京都,千代田区,永田町,1,16,17,新宿住友ビル,44646700,恵比寿駅,アパート,482
神奈川県,川崎市,新百合ヶ丘,7,3,18,代々木ゼミナール本館,59668520,藤沢駅,マンション,949
神奈川県,茅ヶ崎市,茅ヶ崎南,9,29,10,グラントウキョウノースタワー,95170840,登戸駅,アパート,777
福岡県,福岡市,博多,6,1,20,丸ビル,92800040,大橋駅,アパート,1968
愛知県,岡崎市,矢作,1,25,10,パレスホテル東京,52390080,高蔵寺駅,店舗,2892
埼玉県,越谷市,南越谷,7,25,13,東京ドームシティ,16906890,武蔵浦和駅,アパート,351
埼玉県,川越市,川越,10,9,19,東京オペラシティ,49937740,浦和駅,アパート,1181
神奈川県,川崎市,溝の口,2,14,5,世界貿易センタービル,60426420,藤沢駅,アパート,443
東京都,中央区,日本橋,5,18,2,新宿三井ビルディング,82597490,代々木駅,アパート,2423
愛知県,春日井市,高蔵寺,1,28,10,アークヒルズ,94034090,栄駅,アパート,3473
千葉県,千葉市,美浜,8,8,12,グラントウキョウノースタワー,99266880,津田沼駅,オフィスビル,4735
東京都,中央区,八丁堀,8,19,16,東京サンケイビル,70505000,上野駅,オフィスビル,1804
千葉県,松戸市,八柱,4,11,17,東京交通会館,22628250,海浜幕張駅,オフィスビル,3161
愛知県,春日井市,神領,7,30,2,赤坂Bizタワー,61770900,豊田市駅,アパート,2363
千葉県,千葉市,蘇我,1,22,17,テレビ朝日本社ビル,21027580,船橋駅,店舗,1402
千葉県,市川市,本八幡,8,28,12,秋葉原ダイビル,63066340,新浦安駅,マンション,4049
東京都,港区,芝,2,3,7,秋葉原UDX,14487920,三鷹駅,オフィスビル,1195
埼玉県,川口市,東川口,8,10,18,渋谷スクランブルスクエア,49759030,越谷駅,マンション,2321
愛知県,一宮市,妙興寺,3,25,15,ミッドタウン日比谷,18730160,大曽根駅,店舗,3273
福岡県,久留米市,久留米,6,27,19,サンシャイン60,69116900,行橋駅,マンション,1999
愛知県,春日井市,神領,6,22,20,国立新美術館,65655270,新瀬戸駅,店舗,2117
埼玉県,越谷市,大袋,9,14,17,渋谷マークシティ,60993560,和光市駅,オフィスビル,844
大阪府,堺市,堺東,9,11,11,渋谷スクランブルスクエア,47204710,梅田駅,アパート,4613
千葉県,船橋市,北習志野,1,22,5,東京エレクトロンホール宮城,23957090,市川駅,マンション,738
東京都,中央区,八丁堀,1,4,7,銀座シックス,31157190,代々木駅,店舗,3388
愛知県,一宮市,名鉄一宮,7,16,1,日比谷国際ビル,71803990,名古屋駅,アパート,2868
神奈川県,横須賀市,田浦,5,26,17,秋葉原ダイビル,44441540,根岸駅,アパート,4621
千葉県,船橋市,北習志野,6,9,18,新宿センタービル,49629850,東松戸駅,アパート,2956
福岡県,飯塚市,菰田,9,1,15,永田町グリッド,13086110,黒崎駅,一戸建て,4115
神奈川県,川崎市,登戸,7,14,13,東京ワールドゲート,97698970,小田原駅,一戸建て,1920
大阪府,大阪市北区,中之島,6,26,19,東京ガーデンテラス紀尾井町,20902630,なんば駅,マンション,3198
福岡県,北九州市,小倉,10,7,7,大手町フィナンシャルシティ,36278760,薬院駅,店舗,4149
大阪府,大阪市北区,大淀,10,21,2,アークヒルズ,99184450,江坂駅,マンション,3828
千葉県,松戸市,北松戸,3,12,7,品川シーサイド,38149510,新松戸駅,一戸建て,2738
東京都,新宿区,高田馬場,8,2,11,東京オペラシティ,73021090,八王子駅,マンション,2658
神奈川県,川崎市,溝の口,7,6,16,晴海トリトンスクエア,27581920,戸塚駅,一戸建て,2968
福岡県,大牟田市,大牟田,9,21,11,代々木ゼミナール本館,37222300,西鉄福岡駅,一戸建て,1596
大阪府,大阪市中央区,本町,2,6,14,日本橋三井タワー,33772860,難波駅,マンション,4510
東京都,千代田区,永田町,8,13,18,東京ワールドゲート,32757270,秋葉原駅,一戸建て,3376
千葉県,市川市,妙典,3,21,16,東京ミッドタウン,51217650,柏駅,アパート,1974
東京都,港区,芝,4,14,10,新宿センタービル,74955180,上野駅,一戸建て,4519
大阪府,吹田市,北千里,9,21,5,虎ノ門ヒルズ,24630960,泉佐野駅,店舗,300
千葉県,市川市,南行徳,1,5,17,東京芸術劇場,90140470,松戸駅,店舗,1475
福岡県,福岡市,姪浜,4,8,18,東京スクエアガーデン,94576010,新飯塚駅,マンション,3368
愛知県,春日井市,高蔵寺,10,1,20,東急キャピトルタワー,90602140,新瀬戸駅,店舗,562
埼玉県,越谷市,南越谷,4,9,10,大手町タワー,73366190,北越谷駅,店舗,3006
愛知県,岡崎市,岡崎,7,8,6,豊洲市場,57978320,栄駅,店舗,3505
大阪府,大阪市北区,天満,9,4,20,霞が関ビルディング,39850180,泉佐野駅,オフィスビル,3782
神奈川県,茅ヶ崎市,茅ヶ崎南,1,23,19,アーバンドック ららぽーと豊洲,96130300,川崎駅,オフィスビル,422
福岡県,飯塚市,新飯塚,2,29,2,大手町タワー,78593780,博多駅,アパート,1808
千葉県,船橋市,津田沼,6,1,17,浜松町ビルディング,50931580,東松戸駅,オフィスビル,414
福岡県,福岡市,天神,5,13,17,東京サンケイビル,97741950,箱崎駅,店舗,2533
東京都,新宿区,早稲田,3,17,18,東京ミッドタウン,70528630,目黒駅,オフィスビル,1402
千葉県,市川市,市川,7,30,14,汐留メディアタワー,64411810,東松戸駅,一戸建て,533
愛知県,一宮市,尾張一宮,2,26,8,東京駅丸の内駅舎,99549470,鳴海駅,一戸建て,3283
大阪府,豊中市,服部,8,21,16,アークヒルズ,60551480,茨木駅,一戸建て,1770
愛知県,一宮市,名鉄一宮,9,28,5,国立代々木競技場,92016400,栄駅,アパート,2658
東京都,中央区,築地,5,2,6,新宿センタービル,30212060,上野駅,アパート,3588
愛知県,岡崎市,北岡崎,5,5,6,国立代々木競技場,62820720,大曽根駅,店舗,705
東京都,新宿区,西新宿,1,11,9,渋谷スクランブルスクエア,15522020,代々木駅,アパート,1437
埼玉県,越谷市,北越谷,4,17,20,虎ノ門ヒルズ,95233300,新所沢駅,一戸建て,2354
神奈川県,横須賀市,追浜,1,19,2,東京ガーデンテラス紀尾井町,36044710,根岸駅,オフィスビル,385
神奈川県,川崎市,溝の口,7,6,3,渋谷マークシティ,34661270,鶴見駅,一戸建て,1302
千葉県,船橋市,北習志野,2,8,7,東京オペラシティタワー,64879260,新浦安駅,オフィスビル,4649
東京都,港区,麻布,9,17,10,日比谷国際ビル,66605450,東京駅,オフィスビル,109
愛知県,豊田市,上豊田,7,15,18,東京ガーデンテラス紀尾井町,47829080,新瀬戸駅,アパート,4572
千葉県,千葉市,稲毛,7,1,1,恵比寿プライムスクエアタワー,53666910,松戸駅,マンション,2530
神奈川県,藤沢市,辻堂,6,20,9,東京シティビュー,10121680,相模大野駅,店舗,4350
福岡県,福岡市,香椎,7,25,14,有明ガーデン,51098510,小倉駅,店舗,3846
愛知県,一宮市,木曽川,1,10,15,浜松町ビルディング,58476830,知立駅,マンション,3432
東京都,千代田区,秋葉原,3,14,1,赤坂インターシティAIR,39858980,三鷹駅,アパート,4677
福岡県,飯塚市,飯塚,3,29,4,アークヒルズ,93878610,博多駅,一戸建て,310
福岡県,北九州市,黒崎,7,29,11,東京モード学園コクーンタワー,52505380,黒崎駅,アパート,3418
愛知県,名古屋市,金山,5,22,4,品川インターシティ,55709110,大曽根駅,アパート,4942
福岡県,大牟田市,銀水,9,17,13,アークヒルズ仙石山森タワー,12542690,西鉄柳川駅,オフィスビル,1577
福岡県,久留米市,善導寺,4,26,1,赤坂インターシティAIR,14355590,九大学研都市駅,アパート,568
愛知県,名古屋市,栄,1,13,19,東京ワールドゲート,51573120,鶴舞駅,マンション,2533
大阪府,大阪市北区,天満,6,9,1,東京ドーム,30369290,大阪駅,アパート,1999
愛知県,豊田市,土橋,10,9,18,東京ガーデンテラス紀尾井町,84587960,有松駅,アパート,1049
愛知県,名古屋市,大須,4,12,8,東京ガーデンテラス紀尾井町,42276350,金山駅,マンション,2565
神奈川県,横須賀市,追浜,10,15,12,赤坂インターシティAIR,72975920,溝の口駅,オフィスビル,2204
愛知県,岡崎市,東岡崎,8,1,5,赤坂Bizタワー,72420790,春日井駅,アパート,4274
愛知県,豊田市,土橋,10,8,13,新宿パークタワー,32926690,豊橋駅,一戸建て,2941
埼玉県,越谷市,越谷,5,13,5,ミッドタウン日比谷,72053080,熊谷駅,オフィスビル,3423
神奈川県,藤沢市,藤沢,4,22,17,日本橋高島屋三井ビルディング,60104310,小田原駅,アパート,1386
神奈川県,茅ヶ崎市,茅ヶ崎,9,11,3,東京ドーム,68834180,登戸駅,一戸建て,3535
神奈川県,藤沢市,湘南台,4,25,10,東京オペラシティ,59325140,武蔵小杉駅,マンション,3320
埼玉県,さいたま市,岩槻,3,18,17,大手町タワー,86526560,越谷駅,アパート,143
東京都,港区,芝,6,2,20,新宿パークタワー,75670400,銀座駅,オフィスビル,4915
埼玉県,さいたま市,与野,7,17,15,浜松町ビルディング,12554980,浦和駅,オフィスビル,1116
埼玉県,さいたま市,浦和美園,3,25,13,明治生命館,47989350,浦和駅,一戸建て,373
千葉県,船橋市,津田沼,8,26,8,東京ワールドゲート,67411240,南柏駅,アパート,2361
東京都,港区,麻布,8,22,18,晴海トリトンスクエア,57310460,上野駅,オフィスビル,2279
神奈川県,横須賀市,横須賀中央,9,23,7,コレド室町,46621780,川崎駅,マンション,333
千葉県,柏市,北柏,5,13,14,池袋サンシャインシティ,93152530,幕張駅,オフィスビル,2272
大阪府,吹田市,江坂,4,11,11,新宿アイランドタワー,43627060,淀屋橋駅,オフィスビル,2697
大阪府,吹田市,吹田,8,20,11,東京ガーデンテラス紀尾井町,30523740,なんば駅,オフィスビル,3160
大阪府,堺市,泉ヶ丘,9,29,18,渋谷マークシティ,46497190,新大阪駅,アパート,1010
愛知県,豊田市,梅坪,3,29,5,大手町タワー,52936720,鶴舞駅,アパート,2716
埼玉県,さいたま市,岩槻,8,27,2,キャピタルゲートプレイス,47266410,大宮駅,アパート,1874
東京都,港区,芝,4,4,15,世界貿易センタービル,29313850,大崎駅,一戸建て,750
大阪府,吹田市,江坂,7,30,14,品川シーサイド,76392330,鶴橋駅,オフィスビル,1548
埼玉県,さいたま市,与野,1,10,13,丸の内オアゾ,66925530,和光市駅,一戸建て,3970
埼玉県,川口市,蕨,4,16,17,国立新美術館,33841600,大宮駅,一戸建て,494
神奈川県,茅ヶ崎市,茅ヶ崎,5,4,14,虎ノ門ツインビルディング,53518010,鶴見駅,アパート,1876
福岡県,大牟田市,勝立,4,21,17,国立新美術館,34944430,行橋駅,一戸建て,715
福岡県,久留米市,久留米,4,1,13,霞が関ビルディング,33090870,直方駅,オフィスビル,4732
愛知県,名古屋市,大須,5,5,4,汐留メディアタワー,86761490,刈谷駅,店舗,866
福岡県,大牟田市,三池,10,25,6,東京ソラマチ,85506220,赤坂駅,オフィスビル,4856
福岡県,久留米市,花畑,2,9,19,東京ワールドゲート,86264380,小倉駅,オフィスビル,2569
福岡県,久留米市,田主丸,4,21,8,表参道ヒルズ,33724480,姪浜駅,店舗,539
東京都,港区,六本木,1,22,14,アークヒルズ仙石山森タワー,26356690,新宿駅,オフィスビル,4827
大阪府,吹田市,江坂,6,18,1,東京駅丸の内駅舎,31383950,淀屋橋駅,マンション,4676
東京都,港区,白金,6,10,17,文京シビックセンター,36021160,高田馬場駅,アパート,737
神奈川県,藤沢市,辻堂,1,28,10,東京ドーム,86103470,川崎駅,一戸建て,4683
神奈川県,藤沢市,江ノ島,9,18,7,東京エレクトロンホール宮城,86961710,桜木町駅,マンション,2179
大阪府,豊中市,千里中央,4,2,9,東京ビッグサイト,89714730,岸和田駅,一戸建て,61
東京都,千代田区,神田,3,27,6,新丸の内ビルディング,54471960,八王子駅,オフィスビル,1486
愛知県,名古屋市,千種,3,8,18,代々木ゼミナール本館,93142220,新瀬戸駅,一戸建て,3180
東京都,千代田区,神田,7,11,8,テレビ朝日本社ビル,99121530,秋葉原駅,アパート,1280
